LocationID,office,leisure,transport,retail,sustenance,residence
CENCY001,-0.247450241,-0.058575793,0.552256097,-0.23517491,0.529307505,0.966273882
CENCY002,1.895791923,2.583465581,0.793915221,0.557907045,0.753265159,-0.195367125
CENCY003,1.392635717,1.719769438,1.143369623,0.378026561,0.39363685,-0.195367125
CENCY004,0.033703716,0.820958781,0.672348283,0.455098701,0.987089426,-0.195367125
CENCY005,0.394951175,1.703273614,0.938453455,0.392682689,0.411923868,-0.195367125
CENCY006,0.224304903,0.994001752,0.729564599,0.212651926,0.88170107,-0.195367125
CENCY007,-0.297673254,-0.12735937,0.437880498,-0.279272911,0.606078759,0.966273882
CENCY008,0.419188917,2.351833393,1.761612698,1.325742143,0.202941186,0.381892702
CENCY009,1.080605866,2.704586329,1.570092844,1.642071225,0.135326779,0.381892702
CENCY010,-0.161459787,0.293845786,1.204932808,0.08683928,0.602065121,0.966273882
CENCY011,0.115090179,1.312009723,1.443871019,0.520643837,0.125023372,0.381892702
CENCY012,-0.017838438,0.428341348,1.354971156,0.352414979,0.227394342,-0.195367125
CENCY013,0.323664703,1.935593988,1.619657015,0.956563146,0.135326779,-0.195367125
CENCY014,0.120474034,0.719006703,1.413316189,0.510197618,0.229794519,-0.195367125
CENCY015,-0.022030616,-0.017087323,0.419171889,-0.163368608,0.083645089,0.966273882
CENCY016,-0.115356457,0.109759417,0.670223988,-0.156136373,0.450328364,0.966273882
CENCY017,0.15526085,1.635727717,1.522211509,0.827611819,0.124386964,-0.195367125
CENCY018,0.149982997,0.109206172,0.521358158,-0.447429005,-0.119757744,-0.195367125
CENCY019,0.058085041,0.457425926,1.295791188,0.33699517,0.063567625,-0.195367125
CENCY020,1.089779405,1.974550029,0.855497678,1.054526974,-0.069878221,0.381892702
CENCY021,0.356624943,0.460220119,1.142169056,-0.044460457,-0.27508322,-0.195367125
CENCY022,0.742390404,2.066881141,1.606509159,1.250660464,0.155423441,0.381892702
CENCY023,-0.341012291,0.403218909,0.772507461,0.149433341,0.89079446,0.966273882
CENCY024,-0.284624301,0.321827663,0.710240176,0.158221001,0.717197272,0.966273882
CENCY025,-0.271811557,0.33666843,0.409949692,0.324929192,1.131257737,0.966273882
CENCY026,-0.173384961,0.358766787,1.108432126,0.073000123,0.823797262,0.966273882
CENCY027,0.039019244,0.713592758,1.060643888,0.398193937,0.986447158,-0.195367125
CENCY028,0.35843583,0.864049275,1.251459718,0.364292887,0.871957275,-0.195367125
CENCY029,0.631681019,1.269861867,1.521478464,0.118795166,0.016579232,-0.195367125
CENCY030,0.876146317,1.062531084,1.338718508,0.160809212,0.30355814,-0.195367125
CENCY031,1.381339919,2.363839601,1.208715368,0.366549547,0.601755763,-0.195367125
CENCY032,0.286457688,1.010004382,0.688488274,0.300678677,1.036390139,-0.195367125
CENCY033,-0.259162786,0.520501206,0.343651652,0.36096335,0.089861346,-0.195367125
CENCY034,0.001581227,0.553436853,0.319705499,0.514323744,1.246582179,0.966273882
CENCY035,0.541019058,1.058119516,1.267985825,0.270214687,0.602684606,-0.195367125
CENCY036,-0.235520899,0.540563549,0.540227595,0.370463728,1.093637681,0.966273882
CENCY037,0.099986817,0.713368124,0.62284657,0.475914958,1.142376505,-0.195367125
CENCY038,1.027565046,2.019138278,0.811650248,0.387145369,0.448792066,-0.195367125
CENCY039,1.787404648,2.675041158,1.298107182,0.442697569,0.752628751,-0.195367125
CENCY040,0.151878092,0.826631157,0.752033895,0.44638787,1.161271286,-0.195367125
CENCY041,1.572047438,1.076384909,1.143790041,-0.133527934,0.384492002,-0.195367125
CENCY042,0.720851369,1.790260615,0.868786086,0.292546134,0.074998394,-0.195367125
CENCY043,0.921313285,1.476853258,0.945070732,0.263840415,0.0043858,-0.195367125
CENCY044,1.229538319,0.887814879,0.88480095,-0.026085246,-0.062592199,-0.195367125
CENCY045,0.753303139,1.535299371,1.440050234,0.215742534,0.114593709,-0.195367125
CENCY047,0.721123386,1.134616499,0.579102643,-0.035757678,0.277301479,-0.195367125
CENCY048,1.889662072,2.50748303,1.165738976,0.439097118,1.160773244,-0.195367125
CENCY049,1.382078305,1.149820467,0.898833533,0.194693718,0.305956979,-0.195367125
CENCY050,1.510781621,2.209601343,0.797048564,0.30202574,0.674112927,-0.195367125
CENCY051,0.694516825,1.894566569,1.396258161,0.506739514,0.115210918,-0.195367125
CENCY052,0.416949958,1.681799284,0.905050278,0.354596866,-0.06082843,-0.195367125
CENCY053,2.442317814,1.899980642,0.993007783,0.360885571,1.024417069,-0.195367125
CENCY054,0.431700858,2.423954284,0.878732405,1.148537007,0.114593709,-0.195367125
CENCY055,0.680522608,2.336323255,1.360646552,0.861586612,0.163345871,-0.195367125
CENCY056,0.405989029,2.779505896,0.863836372,1.170827822,0.106015673,-0.195367125
CENCY057,0.566243037,1.996542885,1.050047371,0.279073042,0.121912268,-0.195367125
CENCY058,0.608681845,3.2121913,0.93508836,1.378069064,0.300280857,-0.195367125
CENCY059,0.307334722,1.190300495,0.614333941,0.258288146,0.101267055,-0.195367125
CENCY060,0.7481602,3.181655977,1.254147442,1.478700408,0.221745834,-0.195367125
CENCY061,1.137234064,3.04671636,1.102023559,2.19963178,0.084155241,0.381892702
CENCY062,1.050057968,3.550503411,1.391271814,1.998624086,0.308858893,0.381892702
CENCY063,1.342463546,2.587506823,0.905120568,2.372451947,0.104078812,0.381892702
CENCY064,0.841570144,0.806963033,0.599522561,1.597259782,0.093583114,-0.195367125
CENCY065,0.688192843,2.493587683,0.927905515,1.690496409,0.171847112,-0.195367125
CENCY066,1.311397723,1.252796767,0.836651429,0.006846537,0.325417234,-0.195367125
CENCY067,0.985000404,1.414338695,0.938613747,0.127507936,-0.023633292,-0.195367125
CENCY068,0.152024139,0.67749193,0.434118725,-0.026722481,0.266978873,-0.195367125
CENCY069,1.759230925,1.022183033,0.869096008,0.325507798,0.627470951,-0.195367125
CENCY071,0.900808305,1.557127411,0.578439978,1.622913613,0.160734205,-0.195367125
CENCY072,0.96565971,3.330824039,1.339983234,1.923610535,0.251037741,0.381892702
CENCY073,0.180427601,1.643842951,1.070997609,0.123860317,0.081787601,-0.195367125
CENCY074,0.192847581,1.441450669,1.040390098,0.170065909,0.004418337,-0.195367125
CENCY075,1.006259248,1.295148036,0.397016791,1.674736579,0.141718068,-0.195367125
CENCY076,0.81529515,0.42560082,0.578122756,1.594146648,0.014623173,-0.195367125
CENCY077,0.876927031,0.574417911,0.630376943,1.479234258,-0.014013128,-0.195367125
CENCY078,0.825304828,1.22329448,0.432057742,0.806156753,-0.032258164,0.381892702
CENCY079,0.062549068,0.583589611,1.279184956,0.498006398,0.651983042,-0.195367125
CENCY080,0.202947001,0.844306083,1.340591862,0.732777886,0.670241416,-0.195367125
CENCY081,0.040008826,0.655294375,0.438883254,0.399843851,0.804367928,-0.195367125
CENCY082,-0.153671394,0.634306853,0.258118579,0.465000653,0.332280683,-0.195367125
CENCY083,0.008078228,0.879251613,0.682285719,0.344446826,0.890877117,-0.195367125
CENCY084,0.236528148,1.046953481,0.891169384,0.442826795,0.968794931,-0.195367125
CENCY085,0.048156974,0.536854106,0.364349968,0.279664819,0.995629065,-0.195367125
CENCY086,1.801774762,1.787638669,1.309058792,0.038782626,0.37707131,-0.195367125
CENCY087,0.916856731,2.463783443,1.053543414,0.389784591,0.719866902,-0.195367125
CENCY088,1.150590461,0.861797694,0.725782819,0.252622966,0.480704312,-0.195367125
CENCY089,1.487674581,0.782439143,0.497092575,0.256163929,0.746816508,-0.195367125
CENCY090,0.949905452,0.669399182,0.671586148,0.334926313,0.520280428,-0.195367125
CENCY091,2.013812277,2.240036387,1.299764674,0.202694756,1.090777859,-0.195367125
CENCY092,2.154209145,2.7188587,1.155052352,0.210130581,0.90731782,-0.195367125
CENCY094,1.766802347,2.420505573,0.910233091,0.358556134,0.75264795,-0.195367125
CENCY095,1.806657831,2.458761837,1.038454337,0.422628587,0.800763705,-0.195367125
CENCY096,0.176457951,1.298228628,0.938395234,0.143347797,-0.130823814,-0.195367125
CENCY097,0.002160522,0.872499424,0.376785668,0.286177431,0.176936007,-0.195367125
CENCY098,-0.026222795,-0.00883345,0.448551227,-0.175516023,0.075124649,0.966273882
CENCY099,0.05087652,0.648450794,1.259258295,0.279630382,0.804342868,-0.195367125
CENCY100,2.033323391,1.290065463,0.725203046,0.248001495,0.814430915,-0.195367125
CENCY101,0.760661389,0.76598003,0.625739938,0.240828156,0.480704312,-0.195367125
CENCY102,0.208451844,1.547127804,1.160966842,0.175388564,-0.063176871,-0.195367125
CENCY103,0.433316464,2.7201433,1.155470073,1.492470288,0.095114255,-0.195367125
CENCY104,0.159793203,1.415777213,0.906738454,0.162377439,-0.023652491,-0.195367125
CENCY105,1.094847017,1.900997599,0.638631637,2.043005154,0.112637649,0.381892702
CENCY106,0.183863082,0.024906022,0.502429819,-0.205077158,-0.148413244,-0.195367125
CENCY107,1.797075522,1.385275293,1.108426748,0.163077363,0.864310438,-0.195367125
CENCY108,0.642798138,2.720749888,0.930614017,0.890898381,0.035403079,-0.195367125
CENCY109,0.581704393,0.307222487,0.630177741,-0.218445036,-0.224586488,-0.195367125
CENCY110,0.826620888,0.973897906,0.676090877,1.655660496,-0.042668628,-0.195367125
CENCY111,1.627019885,2.654493706,1.295245886,0.344036838,0.789862287,-0.195367125
CENCY112,1.02770195,1.792674583,0.692435355,1.88563418,0.2208703,0.381892702
CENCY113,0.851596442,0.397651112,0.574588985,1.53236739,-0.044857315,-0.195367125
CENCY114,0.0242172,1.314801611,0.91501125,0.02725629,-0.102135778,-0.195367125
CENCY115,1.038240929,1.374169622,0.65078642,1.706412119,0.151577358,-0.195367125
CENCY116,0.888205012,0.445831445,0.571789963,1.548854919,0.365044472,-0.195367125
CENCY117,0.459427485,2.489497769,0.945516275,0.709260892,0.074979195,-0.195367125
CENCY118,0.442173239,2.790763657,1.395564486,1.402359441,0.104290301,-0.195367125
CENCY119,0.547273924,1.788639179,0.898542999,0.479120017,0.140843171,-0.195367125
CENCY120,0.003373389,1.178422845,0.854608371,0.026233718,-0.121615231,-0.195367125
CENCY121,0.015818733,0.768050162,0.507709788,-0.03714131,-0.101570305,-0.195367125
CENCY122,2.113253461,2.778405208,1.253606773,0.45749693,0.839722612,-0.195367125
CENCY123,1.740213951,1.509131386,1.182784713,-0.056747014,0.145591789,-0.195367125
CENCY124,0.695201564,0.641302774,0.268248947,0.285653293,0.402786498,-0.195367125
CENCY125,1.51163797,1.144781959,0.98061345,0.01713283,0.287075536,-0.195367125
CENCY126,2.026245677,2.382701349,1.362117804,0.164243925,0.625360765,-0.195367125
CENCY127,1.77198435,1.883770066,0.858222888,0.468746273,0.984840953,-0.195367125
CENCY128,1.356569899,1.135442044,0.959974072,0.043561878,-0.130804616,-0.195367125
CENCY129,1.714229531,0.958061484,0.720734395,0.233045591,0.785158206,-0.195367125
CENCY130,1.823036935,1.890843306,1.363233223,0.063803867,0.730285781,-0.195367125
CENCY131,0.988586149,1.417202107,0.541871028,1.787485378,0.151558159,-0.195367125
CENCY132,0.504745482,0.423885134,0.227457977,0.569704666,0.152534251,-0.195367125
CENCY133,2.136495596,2.568044616,1.283279738,0.249256366,0.946893936,-0.195367125
CENCY134,1.252776818,3.387163976,1.271333764,2.555335882,0.261341149,0.381892702
CENCY135,0.860731925,1.509533438,0.552362765,0.984334235,-0.051737618,0.381892702
CENCY136,1.368556935,1.170627585,0.879068331,-0.003330893,0.39364885,-0.195367125
CENCY137,-0.228389651,0.143866142,0.081141635,0.372531523,0.705074775,0.966273882
CENCY138,-0.264618877,-0.098764548,0.426384982,-0.318797929,0.690791641,0.966273882
CENCY139,0.82890289,1.189967143,0.833084399,0.285124977,-0.108837128,0.381892702
CENCY140,0.096075862,0.678735308,1.299943422,0.462165649,0.421711262,-0.195367125
CENCY141,0.386506954,0.329659277,0.710778132,-0.21804589,-0.176451535,-0.195367125
CENCY142,0.797667971,0.54115649,0.694505986,0.200219375,-0.156972081,0.381892702
CENCY143,0.679329284,0.380773794,0.311253475,0.114562027,-0.167486978,-0.195367125
CENCY144,0.888321462,2.832896129,1.419459873,1.59772607,0.270536394,0.381892702
CENCY145,0.985595583,1.251375189,0.527947922,1.784264025,0.035866395,-0.195367125
CENCY146,0.919369291,0.512404642,0.608664456,1.641696076,0.11087388,0.59935473
CENCY147,1.075469374,1.955257909,0.623777335,2.081518075,0.084618558,0.381892702
CENCY148,0.181060944,1.593971699,0.875437856,-0.047988778,-0.11926679,-0.195367125
CENCY149,0.124025931,1.08469861,1.609307924,0.746688881,0.566639613,-0.195367125
CENCY150,0.807840048,1.153503571,1.121802276,0.12364698,0.776872327,-0.195367125
CENCY151,-0.366873988,0.359404556,1.04114293,0.13968288,0.851835553,0.966273882
CENCY152,0.189360857,0.869583285,0.794558505,0.517082495,1.074781297,-0.195367125
CENCY153,-0.16229196,0.617755193,0.243751324,0.564063287,0.320723659,-0.195367125
CENCY154,0.11865228,0.682756413,1.337074745,0.772863875,0.766511322,-0.195367125
CENCY156,0.832305482,1.78871433,1.150798154,0.3382558,0.094497046,-0.195367125
CENCY157,2.097462484,2.376536372,0.995218236,0.369001255,1.122431546,-0.195367125
CENCY158,2.075045591,1.898210309,1.345814167,0.256465957,0.924531767,-0.195367125
CENCY159,1.982917273,2.778854871,1.257887393,0.466287188,0.732532089,-0.195367125
CENCY160,1.143222578,3.50038123,1.383628752,1.968485106,0.309476102,0.381892702
CENCY161,0.211804204,1.161162889,0.808617794,0.117420755,-0.130823814,-0.195367125
CENCY162,0.846714244,1.376287407,0.703480992,0.90812303,0.005601019,-0.195367125
CENCY163,0.544686263,0.350575082,1.338342823,0.134816357,-0.136875419,-0.195367125
CENCY164,-0.11710342,0.147945484,0.558326395,-0.063556534,0.586580106,0.966273882
CENCY165,1.207123511,2.37498245,0.633752377,0.282105419,0.646093835,-0.195367125
CENCY166,0.040008826,0.68146401,0.443835257,0.401888199,0.756252174,-0.195367125
CENCY167,0.138217644,1.512292355,0.957928428,0.359504762,0.168862263,-0.195367125
CENCY168,0.817890676,0.975009331,0.635947102,-0.004948272,0.30593778,-0.195367125
CENCY169,-0.137025976,0.257062179,0.986346559,0.077088819,0.71721061,0.966273882
CENCY170,0.153134113,0.60417548,1.315160324,0.292509336,0.688593508,-0.195367125
CENCY171,-0.271811557,0.345526437,0.645823183,0.193134149,0.840901599,0.966273882
CENCY172,0.726969025,1.855945378,1.61927175,0.662761546,0.067095163,-0.195367125
CENCY173,0.090892576,1.385422687,1.558608185,0.808676418,0.203558395,0.381892702
CENCY174,0.400681546,0.164151282,0.048162531,0.387341634,0.132437589,-0.195367125
CENCY175,0.39206098,0.205449627,0.070042626,0.179802909,0.172013705,-0.195367125
CENCY176,0.129320267,0.322664294,0.20152677,1.004342582,0.327127692,-0.195367125
CENCY177,0.915097913,1.649419519,0.646447524,1.223877575,-0.069878221,0.381892702
CENCY178,0.411647644,0.284808039,1.070828722,0.136302332,-0.27508322,-0.195367125
CENCY179,2.136495596,2.662993707,1.294172359,0.136560415,0.887838366,-0.195367125
CENCY181,0.999279316,1.275951001,0.867868462,-0.02649614,0.277301479,-0.195367125
CENCY182,0.865528339,1.028073733,0.597401887,-0.032629185,0.277301479,-0.195367125
CENCY183,0.740254186,1.793480611,1.539228219,0.57753807,0.154169825,-0.195367125
CENCY184,0.20178811,1.815590176,0.936108934,0.146668308,-0.080307883,-0.195367125
CENCY185,0.733496875,0.379086438,0.330407352,1.448149839,0.345584217,0.59935473
CENCY186,0.798054019,0.435030961,0.531434093,1.662043049,0.014623173,-0.195367125
CENCY187,0.450240544,1.804956061,0.884566698,0.484535686,0.018323802,-0.195367125
CENCY188,0.474674355,1.930975907,0.938600075,0.576268812,0.066458756,-0.195367125
CENCY189,1.016162723,2.839408089,1.126181622,1.971527008,0.162690264,0.381892702
CENCY190,-0.000818789,1.21349672,0.871359498,-0.008121056,-0.03454057,-0.195367125
CENCY191,0.853086626,0.837708825,0.468975144,1.325789055,0.093119798,-0.195367125
CENCY192,0.610809181,1.052670762,0.389588571,1.51339058,0.074103661,-0.195367125
CENCY193,0.763569123,1.130813301,1.456006087,0.033710677,0.036058686,-0.195367125
CENCY194,0.909563852,2.241880499,0.98766232,0.434877767,0.575462043,-0.195367125
CENCY195,-0.17223787,0.275781098,0.254505873,0.567318097,1.071796448,0.966273882
CENCY196,1.198286649,3.034527767,1.07343281,2.306241299,0.250826252,0.381892702
CENCY197,-0.26738317,0.215317721,0.500738436,-0.092241961,0.710869105,0.966273882
CENCY198,-0.11092807,0.181206578,0.716682123,-0.013322891,0.419909095,0.966273882
CENCY199,0.423804554,0.248934078,0.175351629,0.006088461,-0.051331898,-0.195367125
CENCY200,0.032984457,0.754081429,0.665614867,0.355204747,0.929816825,-0.195367125
CENCY201,-0.030831993,1.115834419,0.496009306,0.313855746,0.235374368,-0.195367125
CENCY206,0.63453679,1.041493616,0.789231748,0.045374504,0.209706271,-0.195367125
CENCY207,0.078864954,1.361097963,1.019761636,0.139259101,-0.023652491,-0.195367125
CENCY208,0.001581227,0.493396854,0.257719925,0.608258195,1.082697865,0.966273882
CENCY701,1.106561065,2.604740623,0.920306609,1.643957274,0.096367872,0.381892702
CENCY702,1.115890257,2.629246091,1.135166975,1.684534784,0.096367872,0.381892702
CSHCY005,-0.486606439,-0.789921147,-0.470418243,-0.2406893,-0.220172398,-0.195367125
CSHCY006,-0.477985873,-0.427591146,-0.229774361,-0.021666803,-0.104461435,-0.195367125
CSHCY007,-0.477985873,-0.271195717,-0.273508204,0.185161424,0.089803749,-0.195367125
CSHCY008,-0.477985873,0.091527889,0.044967191,0.374159893,-0.131333967,-0.195367125
CSHCY009,-0.466364806,-0.196086515,-0.057055084,-0.379118225,-0.286023035,-0.195367125
CSHCY010,-0.229057245,-0.382182937,-0.153579712,-0.427304779,-0.161097629,-0.195367125
CSHCY011,1.123296968,0.908144223,0.401092913,0.645227824,0.220637671,-0.195367125
CSHCY013,-0.265553338,-0.702696009,-0.285389685,-0.359302752,0.043548036,-0.195367125
CSHCY014,-0.182978838,-0.70239418,-0.27316083,-0.489750003,-0.286023035,-0.195367125
CSHCY015,0.009995668,-0.267828751,-0.18949122,-0.189255177,-0.053964703,-0.195367125
CSHCY016,0.112959405,-0.040558242,-0.169088336,-0.118684851,-0.237907281,-0.195367125
CSHCY017,0.975070429,1.806692606,0.356594709,0.026105367,0.595577904,-0.195367125
CSHCY018,0.065228348,-0.539798747,-0.317400319,0.010510039,0.080048892,-0.195367125
CSHCY024,-0.237101426,-0.568719485,-0.245906901,-0.084870249,0.661951089,-0.195367125
CSHCY025,-0.161900118,-0.456316549,-0.353609393,-0.314824972,0.05358208,-0.195367125
CSHCY026,0.428948342,0.178358717,0.207680982,0.288157223,0.246700704,-0.195367125
CSHCY027,0.103701707,0.078281004,0.205378303,0.254206876,0.216917843,-0.195367125
CSHCY028,-0.201556377,-0.826771247,-0.12489111,-0.631826349,-0.113020273,-0.195367125
CSHCY029,-0.266752906,-0.710083103,-0.289765413,-0.584525768,-0.053385892,-0.195367125
CSHCY030,0.265510025,0.302622205,0.081529454,-0.065168682,0.201081422,-0.195367125
CSHCY031,0.542976121,1.248204377,0.179307832,-0.048456727,0.311818682,-0.195367125
CSHCY039,-0.398355749,-0.488409035,-0.391683185,-0.428413859,-0.083816223,-0.195367125
CSHCY040,-0.451887968,-0.866089412,-0.479263975,-0.835415208,-0.170312073,-0.195367125
CSHCY041,-0.438839015,-0.664214752,-0.354657944,-0.647040402,0.22871397,-0.195367125
